S_No,REGION,COUNTY,SUB_COUNTY,UIC,KNEC,SCHOOL_NAME,CLUSTER,TYPE,DISABILITY_TYPE,ACCOMMODATION_TYPE,GENDER
142,RIFT VALLEY,BARINGO,MARIGAT,2J9L,33558204,NGARIE MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
143,RIFT VALLEY,BARINGO,MARIGAT,K6JN,33558208,NGENYILEL MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
144,RIFT VALLEY,BARINGO,MARIGAT,J5G2,33558112,NGOLBELON MIXED SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
145,RIFT VALLEY,BARINGO,MARIGAT,Q5G2,33558206,NYIMBEI DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
146,RIFT VALLEY,BARINGO,MARIGAT,PJTQ,33558109,PATKAWANIN MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
147,RIFT VALLEY,BARINGO,MARIGAT,TXH6,33558119,PERKERRA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
148,RIFT VALLEY,BARINGO,MARIGAT,JTBJ,33558106,SABOR SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
149,RIFT VALLEY,BARINGO,MARIGAT,5VTD,33558105,SALABANI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
150,RIFT VALLEY,BARINGO,MARIGAT,3ZAQ,33558211,SAMBAKA DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
151,RIFT VALLEY,BARINGO,MARIGAT,XTRT,33558108,SANDAI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
152,RIFT VALLEY,BARINGO,MARIGAT,AFVY,33558113,SOKOTEI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
153,RIFT VALLEY,BARINGO,MARIGAT,KAXM,33558205,TUIYOBEI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
154,RIFT VALLEY,BARINGO,MARIGAT,DPRU,33558203,TUIYOTICH MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
155,RIFT VALLEY,BARINGO,MOGOTIO,TBYX,33562301,CHEBEREN SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
156,RIFT VALLEY,BARINGO,MOGOTIO,RKHT,33562405,AIC KISANANA TOTONA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
157,RIFT VALLEY,BARINGO,MOGOTIO,CKMG,33562201,EMINING SECONDARY SCHOOL,C2,PUBLIC,NONE,DAY,MIXED
158,RIFT VALLEY,BARINGO,MOGOTIO,Y46P,33562114,KAMAR MIXED SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
159,RIFT VALLEY,BARINGO,MOGOTIO,68Y7,33562206,KAPLELWO SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
160,RIFT VALLEY,BARINGO,MOGOTIO,F3VU,33562303,KIMNGOROM GIRLS HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
161,RIFT VALLEY,BARINGO,MOGOTIO,ZLEA,33562203,KIMOSE DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
162,RIFT VALLEY,BARINGO,MOGOTIO,VU9W,33562113,KIPKITUR MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
163,RIFT VALLEY,BARINGO,MOGOTIO,REW5,33562111,KIPSOGON SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
164,RIFT VALLEY,BARINGO,MOGOTIO,GF4M,33562108,KIPTOIM SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
165,RIFT VALLEY,BARINGO,MOGOTIO,MHSZ,33562401,KISANANA BOYS HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,BOYS
166,RIFT VALLEY,BARINGO,MOGOTIO,688A,33562104,KOIBARAK MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
167,RIFT VALLEY,BARINGO,MOGOTIO,HCFX,33562208,KOITEBES SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
168,RIFT VALLEY,BARINGO,MOGOTIO,KT5W,33562110,LOMBOGISHU SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
169,RIFT VALLEY,BARINGO,MOGOTIO,FKBK,33562103,MAJI MOTO SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
170,RIFT VALLEY,BARINGO,MOGOTIO,2FGK,33562101,MOGOTIO GIRLS' HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
171,RIFT VALLEY,BARINGO,MOGOTIO,ZQDK,33562112,MOGOTIO TOWNSHIP MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
172,RIFT VALLEY,BARINGO,MOGOTIO,VAZU,33562102,MOLO SIRWE SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
173,RIFT VALLEY,BARINGO,MOGOTIO,2W8G,33562107,MUGURIN SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
174,RIFT VALLEY,BARINGO,MOGOTIO,636F,33562109,NGUBERETI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
175,RIFT VALLEY,BARINGO,MOGOTIO,EWXY,33562115,OLBAT MIXED SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
176,RIFT VALLEY,BARINGO,MOGOTIO,5UHX,33562403,OLDEBES SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
177,RIFT VALLEY,BARINGO,MOGOTIO,GZVP,33562404,OLKOKWE SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
178,RIFT VALLEY,BARINGO,MOGOTIO,FY29,33562207,OTERIT SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
179,RIFT VALLEY,BARINGO,MOGOTIO,VMZZ,33562204,RADAD SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
180,RIFT VALLEY,BARINGO,MOGOTIO,FDAZ,33562106,REUBEN CHERUIYOT SECONDARY SCHOOL - OLMARAI,C4,PUBLIC,NONE,DAY,MIXED
181,RIFT VALLEY,BARINGO,MOGOTIO,YDA7,33562202,ROSOGA SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
182,RIFT VALLEY,BARINGO,MOGOTIO,FAMQ,33562205,SAGASAGIK SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
183,RIFT VALLEY,BARINGO,MOGOTIO,BBU5,33562402,SINENDE SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
184,RIFT VALLEY,BARINGO,MOGOTIO,3TVZ,33562302,SIRWA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
185,RIFT VALLEY,BARINGO,MOGOTIO,J9L2,33562304,SORE MIXED SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
186,RIFT VALLEY,BARINGO,MOGOTIO,34ND,33562209,ST. MARY'S MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
304,RIFT VALLEY,BOMET,CHEPALUNGU,8AEH,25551218,BINGWA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
305,RIFT VALLEY,BOMET,CHEPALUNGU,YA2K,25551216,CHEBANYINY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
306,RIFT VALLEY,BOMET,CHEPALUNGU,W2GJ,25551126,CHEBARAA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
307,RIFT VALLEY,BOMET,CHEPALUNGU,4SU7,25551133,CHEBELION MIXED SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
308,RIFT VALLEY,BOMET,CHEPALUNGU,GL84,25551234,CHEBOYO SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
309,RIFT VALLEY,BOMET,CHEPALUNGU,AT8K,25551237,CHEBUNYO GIRLS SECONDARY SCHOOL,C3,PUBLIC,NONE,BOARDING,GIRLS
310,RIFT VALLEY,BOMET,CHEPALUNGU,LM6V,25551201,CHEBUNYO SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
311,RIFT VALLEY,BOMET,CHEPALUNGU,S2Z4,25551236,CHELELACH HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
312,RIFT VALLEY,BOMET,CHEPALUNGU,58RA,25551228,CHEMAETANY DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
313,RIFT VALLEY,BOMET,CHEPALUNGU,W4E4,25551123,CHEMENGWA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
