Serial_No,School_Code,School_Name,Category,Type,Cluster
360,29579702,ITIGO GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
362,30544101,G.G RUMURUTI SECONDARY SCHOOL,Extra County,Boys,C1
363,30556101,GATERO GIRLS HIGH SCHOOL,Extra County,Girls,C1
364,30556301,NDURURUMO HIGH SCHOOL,Extra County,Mixed,C1
365,31515101,OLKEJUADO HIGH SCHOOL,Extra County,Boys,C1
366,31545101,OLOITOKITOK SECONDARY SCHOOL,Extra County,Boys,C1
367,31557206,NAKEEL SECONDARY SCHOOL,Extra County,Boys,C1
368,31567201,NOONKOPIR GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
369,32516102,MAASAI GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
370,33517201,KABARNET HIGH SCHOOL,Extra County,Boys,C1
371,33517202,KAPROPITA GIRLS HIGH SCHOOL,Extra County,Girls,C1
372,33521101,ELDAMA RAVINE GIRLS HIGH SCHOOL,Extra County,Girls,C1
373,33521106,POROR HIGH SCHOOL,Extra County,Boys,C1
